,brown-haired,light brown,blond,red hair,black
woman63photo0,0.20267131242741,0.34552845528455284,0.41114982578397213,0.005807200929152149,0.03484320557491289
woman63photo1,0.31245923026744943,0.3333333333333333,0.30071754729288974,0.0006523157208088715,0.05283757338551859
woman63photo2,0.21972318339100347,0.32525951557093424,0.2811418685121107,0.01384083044982699,0.16003460207612458
woman63photo3,0.3192632386799693,0.27398311588641594,0.32041442824251726,0.01419800460475825,0.07214121258633922
woman63photo4,0.2709677419354839,0.3155145929339478,0.30906298003072197,0.0141321044546851,0.09032258064516129
woman64photo4,0.13559322033898305,0.3135593220338983,0.4406779661016949,,0.11016949152542373
woman65photo3,0.2911369740376007,0.07967770814682185,0.5681289167412713,0.0007162041181736795,0.0603401969561325
woman65photo4,0.44159339673425446,0.17082361385250314,0.34972187331778215,0.0007177462766911897,0.03714336981876906
woman65photo5,0.15650741350906094,0.3543840380743181,0.47574592714625663,,0.013362621270364269
woman65photo6,,,,,
woman66photo1,0.21262458471760798,0.3687707641196013,0.3388704318936877,,0.07973421926910298
woman66photo2,0.06865741829296967,0.33458735010580765,0.577004467434752,0.00423230660710087,0.015518457559369857
woman68photo1,0.22380952380952382,0.2357142857142857,0.2976190476190476,0.047619047619047616,0.19523809523809524
woman68photo2,0.2815126050420168,0.3235294117647059,0.31092436974789917,,0.08403361344537816
woman68photo3,0.3638676844783715,0.5114503816793893,0.07633587786259542,,0.04834605597964377
woman68photo5,0.3433734939759036,0.5,0.1144578313253012,,0.04216867469879518
woman71photo0,0.24543647207663113,0.053135731068136634,0.2130851256099765,0.4456894993674318,0.04265317187782396
woman71photo1,0.0887401304497082,0.16872639890147614,0.7107792653621696,0.021970477171301066,0.009783728115345005
woman73photo4,0.17151932239280043,0.5156167284277395,0.22869242985706723,0.06246691371095818,0.02170460561143462
woman74photo0,0.17628408370323398,0.21686746987951808,0.48573240329740014,0.04502219403931516,0.07609384908053266
woman74photo1,0.021437198067632852,0.0981280193236715,0.8716787439613527,,0.008756038647342996
woman74photo3,0.01784197111299915,0.23874256584536957,0.7272727272727273,,0.016142735768903994
woman75photo1,,,,,
woman76photo1,0.11944869831546708,0.4211332312404288,0.23583460949464014,0.1807044410413476,0.042879019908116385
woman76photo2,0.31221374045801525,0.1683206106870229,0.025190839694656488,0.4416030534351145,0.05267175572519084
woman76photo3,0.1897023086269745,0.29328675577156743,0.5006075334143378,0.0004556500607533414,0.01594775212636695
woman76photo4,0.1546572934973638,0.408904510837727,0.4112478031634446,,0.025190392501464556
woman77photo0,0.4393939393939394,0.23863636363636365,0.17234848484848486,,0.14962121212121213
woman78photo0,0.04356435643564356,0.2462046204620462,0.6805280528052805,0.0033003300330033004,0.026402640264026403
woman78photo3,,,,,
woman78photo5,,,,,
woman79photo3,0.060209424083769635,0.12041884816753927,0.5078534031413613,0.2591623036649215,0.05235602094240838
woman80photo1,0.0427807486631016,0.31016042780748665,0.6203208556149733,,0.026737967914438502
woman80photo2,0.041666666666666664,0.1867816091954023,0.7298850574712644,,0.041666666666666664
woman81photo0,0.2373453318335208,0.15523059617547807,0.09336332958380203,0.2452193475815523,0.2688413948256468
woman81photo2,0.047619047619047616,0.20952380952380953,0.6190476190476191,,0.12380952380952381
woman81photo6,,,,,
woman81photo8,0.16729424421732114,0.3587950511027434,0.3986013986013986,0.005917159763313609,0.06939214631522324
woman83photo1,0.10352673492605233,0.11262798634812286,0.745164960182025,,0.038680318543799774
woman84photo0,0.35412026726057905,0.24944320712694878,0.18485523385300667,0.015590200445434299,0.19599109131403117
woman84photo1,0.07005253940455342,0.5674255691768827,0.2819614711033275,0.03152364273204904,0.04903677758318739
woman84photo2,0.2982456140350877,0.2957393483709273,0.18546365914786966,0.045112781954887216,0.17543859649122806
woman84photo4,0.2533952823445318,0.33559685489635455,0.318084345961401,0.0025017869907076485,0.090421729807005
woman84photo5,0.07134006018764383,0.2621702956275447,0.6562223402372102,,0.010267303947601345
woman84photo6,0.4296600234466589,0.28839390386869873,0.21512309495896834,0.01406799531066823,0.05275498241500586
woman84photo7,0.3729060451565914,0.21194464675892208,0.30535324107793155,0.01584122359796067,0.09395484340859432
woman85photo0,0.0963855421686747,0.41204819277108434,0.4602409638554217,,0.03132530120481928
woman85photo1,0.1878654970760234,0.21271929824561403,0.46710526315789475,0.0014619883040935672,0.13084795321637427
woman86photo1,,,,,
woman87photo2,0.16936554287231217,0.34642951951154766,0.11760021237058667,0.16989646933899655,0.19670825590655694
woman87photo4,0.3328321961373887,0.15970856944605066,0.45495547588759105,0.0304151728923326,0.022088585636636984
woman88photo0,,,,,
woman88photo3,0.22510094212651413,0.398721399730821,0.22812920592193808,,0.1480484522207268
woman89photo1,0.27259684361549497,0.2065997130559541,0.18938307030129126,0.07604017216642754,0.25538020086083213
woman89photo2,0.2903225806451613,0.2998805256869773,0.37335722819593786,,0.03643966547192354
woman89photo3,0.21544526901669758,0.3682745825602968,0.3942486085343228,0.012987012987012988,0.009044526901669759
woman89photo6,0.1662912912912913,0.1816816816816817,0.5172672672672672,0.12012012012012012,0.01463963963963964
woman90photo1,0.09870550161812297,0.4255663430420712,0.2459546925566343,0.18770226537216828,0.042071197411003236
woman90photo2,0.3116883116883117,0.16844919786096257,0.025210084033613446,0.4419404125286478,0.052711993888464474
woman90photo3,0.18807826482633097,0.29303807068102533,0.5018959502502655,0.0004550280600637039,0.016532686182314574
woman90photo4,0.1546572934973638,0.408904510837727,0.4112478031634446,,0.025190392501464556
woman91photo1,0.08984231756508984,0.33186651998533184,0.5562889622295563,0.0007334066740007334,0.021268793546021268
woman91photo2,0.12937293729372937,0.2881188118811881,0.5663366336633663,0.0013201320132013201,0.01485148514851485
woman91photo3,0.19588512644663522,0.13116159451350193,0.5863694813544792,0.006858122588941277,0.07972567509644235
woman91photo4,0.13284132841328414,0.1974169741697417,0.24354243542435425,0.2158671586715867,0.21033210332103322
woman92photo1,0.3181818181818182,0.5,,,0.18181818181818182
woman93photo1,0.270020964360587,0.13934311670160726,0.56701607267645,0.004612159329140462,0.019007686932215235
woman94photo0,,,,,
woman94photo1,0.07147456535737283,0.08177720540888603,0.6052801030264006,0.21442369607211847,0.02704443013522215
woman94photo3,0.05084745762711865,0.0480225988700565,0.8870056497175142,,0.014124293785310734
woman94photo4,0.06665113027266371,0.07317641575390352,0.7674201817758098,,0.09275227219762293
woman96photo0,0.10984345980366145,0.3451843990448395,0.530910055717697,0.003183868400106129,0.010878217033695941
woman96photo1,0.27697841726618705,0.1510791366906475,0.3776978417266187,0.1223021582733813,0.07194244604316546
woman96photo2,0.12241813602015113,0.30075566750629723,0.5193954659949622,0.0020151133501259445,0.055415617128463476
woman96photo4,0.20803140096618358,0.18810386473429952,0.5830314009661836,,0.020833333333333332
woman97photo1,0.0967741935483871,0.4258064516129032,0.2467741935483871,0.1870967741935484,0.043548387096774194
woman97photo2,0.3118320610687023,0.16793893129770993,0.025190839694656488,0.4416030534351145,0.05343511450381679
woman97photo3,0.18888551472821136,0.29380504099605226,0.5006073489219557,0.00045551169146674765,0.016246583662314
woman97photo4,0.15926583777383066,0.4126702190645352,0.40260509177027826,,0.02545885139135583
woman98photo0,0.02766531713900135,0.18758434547908232,0.7611336032388664,0.001349527665317139,0.022267206477732792
woman98photo3,,,,,
woman99photo0,0.04205607476635514,0.2616822429906542,0.6612149532710281,,0.035046728971962614
woman99photo1,0.06158357771260997,0.4662756598240469,0.2756598240469208,0.18475073313782991,0.011730205278592375
woman99photo7,0.07377049180327869,0.1598360655737705,0.7131147540983607,,0.05327868852459016
woman99photo8,0.06659110229526778,0.2847832247095494,0.5389628790025502,0.0974780391045622,0.012184754888070274
woman100photo0,0.31746031746031744,0.15674603174603174,0.24603174603174602,0.24206349206349206,0.037698412698412696
woman100photo1,,,,,
woman100photo5,0.13881401617250674,0.20754716981132076,0.31536388140161725,0.29380053908355797,0.0444743935309973
woman100photo6,0.14976415094339623,0.4716981132075472,0.25825471698113206,0.07900943396226415,0.041273584905660375
woman101photo1,0.09271523178807947,0.4139072847682119,0.39403973509933776,,0.09933774834437085
woman101photo4,0.5481481481481482,0.345679012345679,0.037037037037037035,,0.0691358024691358
woman101photo5,0.14285714285714285,0.6071428571428571,0.16428571428571428,,0.08571428571428572
woman102photo0,0.11647555823777912,0.4782739891369946,0.35727217863608934,0.0006035003017501509,0.047374773687386844
woman102photo4,0.07633587786259542,0.16793893129770993,0.6793893129770993,,0.07633587786259542
woman103photo0,0.17341040462427745,0.33236994219653176,0.3583815028901734,0.09248554913294797,0.04335260115606936
woman103photo2,0.03765690376569038,0.5062761506276151,0.401673640167364,,0.05439330543933055
woman103photo3,0.5191256830601093,0.3633879781420765,0.06284153005464481,,0.0546448087431694
woman104photo0,0.24806201550387597,0.2364341085271318,0.07493540051679587,0.24935400516795866,0.19121447028423771
woman104photo3,0.050274725274725277,0.15796703296703296,0.6939560439560439,0.08928571428571429,0.008516483516483516
woman104photo4,,,,,
woman106photo1,,,,,
woman106photo3,0.34880123743232794,0.07476153647847383,0.5460170146945089,0.0007733952049497294,0.029646816189739623
woman106photo4,0.057692307692307696,0.20085470085470086,0.655982905982906,0.05555555555555555,0.029914529914529916
woman107photo0,0.11363636363636363,0.2727272727272727,0.5849802371541502,0.0014822134387351778,0.02717391304347826
woman107photo1,0.08006535947712418,0.2581699346405229,0.6372549019607843,,0.024509803921568627
woman107photo2,0.05668016194331984,0.08097165991902834,0.8137651821862348,,0.048582995951417005
woman107photo3,,,,,
woman108photo0,0.11290322580645161,0.27419354838709675,0.5403225806451613,,0.07258064516129033
woman108photo1,,,,,
woman110photo0,0.2286401925391095,0.10589651022864019,0.07340553549939831,0.3164861612515042,0.27557160048134777
woman110photo2,0.22861803775343742,0.1412258214868329,0.1829410393847588,0.4218130971801445,0.02540200419482638
woman110photo3,0.3448124588725598,0.32748409738977846,0.2862469839877166,0.018644439570081158,0.022812020179864004
woman111photo1,0.0871559633027523,0.3394495412844037,0.34174311926605505,0.13761467889908258,0.09403669724770643
woman111photo2,0.3402653280745787,0.15166726425242022,0.023305844388669773,0.44352814628899245,0.041233416995338834
woman111photo3,0.18761274804570055,0.29028863499699337,0.5052615754660252,0.0004509921828021648,0.016386049308478652
woman111photo4,0.16322815533980584,0.39927184466019416,0.41140776699029125,,0.026092233009708737
woman112photo0,0.2171945701357466,0.42081447963800905,0.33031674208144796,,0.03167420814479638
woman112photo4,0.3142857142857143,0.42857142857142855,0.11428571428571428,,0.14285714285714285
woman113photo1,0.1182108626198083,0.8498402555910544,0.009584664536741214,,0.022364217252396165
woman113photo2,0.11919831223628692,0.4240506329113924,0.4040084388185654,0.017932489451476793,0.03481012658227848
woman114photo2,0.043593130779392336,0.08850726552179657,0.8348745046235139,0.001321003963011889,0.031704095112285335
woman114photo4,0.47746478873239434,0.21549295774647886,0.17746478873239438,0.020422535211267606,0.10915492957746478
woman114photo6,0.26198695818948986,0.23858841580360568,0.45569620253164556,,0.04372842347525892
woman115photo4,0.1919409412488465,0.21070439864657028,0.42817594586281144,0.014764687788372808,0.15441402645339897
woman116photo1,0.04584040747028863,0.15619694397283532,0.6638370118845501,0.10865874363327674,0.025466893039049237
woman116photo6,0.07102272727272728,0.29545454545454547,0.5653409090909091,,0.06818181818181818
woman118photo1,,,,,
woman118photo5,0.3578214059531349,0.2773907536415453,0.2602913236225459,0.05383153894870171,0.0506649778340722
woman118photo7,0.04,0.205,0.5164285714285715,0.2092857142857143,0.029285714285714286
woman119photo1,0.20152091254752852,0.4695817490494297,0.12737642585551331,0.15399239543726237,0.04752851711026616
woman119photo3,0.06397306397306397,0.4781144781144781,0.4377104377104377,,0.020202020202020204
woman120photo1,0.15079365079365079,0.4880952380952381,0.2857142857142857,0.047619047619047616,0.027777777777777776
woman121photo1,0.0446927374301676,0.3575418994413408,0.4022346368715084,0.13687150837988826,0.05865921787709497
woman121photo2,0.34183123877917415,0.15152603231597844,0.02333931777378815,0.44416517055655297,0.03913824057450628
woman121photo3,0.18936977980258163,0.2935459377372817,0.5005315110098709,0.00045558086560364467,0.01609719058466211
woman121photo4,0.15148063781321183,0.39806378132118453,0.42482915717539865,,0.02562642369020501
woman122photo2,,,,,
woman122photo4,,,,,
woman123photo3,0.08333333333333333,0.2838983050847458,0.1963276836158192,0.3898305084745763,0.046610169491525424
woman123photo4,0.25163398692810457,0.1503267973856209,0.5522875816993464,0.0016339869281045752,0.04411764705882353
woman123photo6,0.23455210237659962,0.3319926873857404,0.39488117001828155,0.0005484460694698354,0.038025594149908595
woman124photo0,0.04096385542168675,0.18072289156626506,0.7654618473895582,,0.01285140562248996
woman124photo1,0.14622057001239158,0.19578686493184635,0.6245353159851301,0.007434944237918215,0.026022304832713755
woman125photo1,0.0871559633027523,0.3532110091743119,0.34174311926605505,0.1353211009174312,0.08256880733944955
woman125photo2,0.34001431639226914,0.15139584824624194,0.023264137437365783,0.4427344309234073,0.04259126700071582
woman125photo3,0.18837279902853674,0.294474802671524,0.5003035822707954,0.0004553734061930783,0.01639344262295082
woman125photo4,0.15148063781321183,0.39806378132118453,0.42482915717539865,,0.02562642369020501
woman126photo1,0.03259141494435612,0.12639109697933226,0.7599364069952306,0.058823529411764705,0.022257551669316374
